id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5.01174E+15,O4VpZ1zEF,2810373291,新华网,【秀我中国|#你最想吃的甘肃美食是什么#？】#除了麻辣烫还有这些甘肃美食#天水麻辣烫火了，带火了“天水”这座西北小城，除了麻辣烫甘肃还有哪些美食？戳视频↓↓#天水麻辣烫#@秀我中国L新华网的微博视频,,,秀我中国,"你最想吃的甘肃美食是什么,除了麻辣烫还有这些甘肃美食,天水麻辣烫",137,210,1335,2024/3/14 8:17,微博视频号,,"http://f.video.weibocdn.com/o0/GEwQAUA5lx08dgQq9Nle010412008onB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190847&ssig=93kS9t1IrW&KID=unistore,video",,
5.01179E+15,O4WOo06vs,1774057271,生命时报,【#吃麻辣烫记住这个健康比例#】近日，#天水麻辣烫#出圈了！其实选对食材，麻辣烫也可以吃得很健康，且可以做到食物多样化↓↓①按照“主食:蔬菜:蛋白质类食物≈1:2:1”来选择，其中主食最好粗细粮搭配，如荞麦面。②蔬菜中有2/3是绿叶菜，1/3是菌菇类。蛋白质类食物中一半为豆制品，另一半为动物性食物，如鸡胸肉、瘦肉片、鱼片等。③墨鱼花、蟹肉棒、芝士丸等大部分是淀粉制品，盐含量往往较高，尽量不选。④选汤底时，备注少油少盐，避免油盐摄入超标。,,,,"吃麻辣烫记住这个健康比例,天水麻辣烫",206,58,1227,2024/3/14 11:50,微博网页版,[],,,
5.01151E+15,O4Pxs2nkZ,7467277921,西部决策,【“甘肃麻辣烫”火出圈！#网友喊话甘肃文旅#：泼天富贵来了】最近#天水麻辣烫#火爆出圈，不少网红博主，吃货“特种兵”甚至不远千里坐高铁去甘肃吃麻辣烫。面对这“泼天的富贵”甘肃网友紧急催更天水文旅“起来干活”！#外地人被甘肃天水麻辣烫整懵了#@西部决策O“甘肃麻辣烫”火出圈！网友喊话甘肃文旅：泼天富贵来了,,,西部决策,"网友喊话甘肃文旅,天水麻辣烫,外地人被甘肃天水麻辣烫整懵了",19,39,334,2024/3/13 17:19,微博 weibo.com,,,,
5.01143E+15,O4NmOm5mw,1222135407,中国国家地理,#地理君带你看中国#到天水吃麻辣烫，别错过中国四大石窟之一的麦积山石窟麦积山石窟位于甘肃省天水市，石窟所在的麦积山属秦岭西段余脉的一座孤峰，因形似麦垛而得名。麦积山石窟现存洞窟221个，塑像、石雕大小合计7200余尊。尤其是北魏、西魏、北周、隋朝等各代塑像以清秀典雅的风格流传至今，是中国罕见的跨越朝代众多的巨大雕塑博物馆。由于石窟选址在疏松的砂岩上，不易雕刻，因而绝大部分石窟造像以泥塑为主，这也是中国在世界雕塑史上的独创。古代工匠们利用黏土、麻筋、沙子，同时混有一定比例的糯米汁和鸡蛋清作为凝固剂，使得麦积山泥塑在半湿润的气候条件下，历经一千多年仍屹立不倒，很多塑像至今仍然能够保存完好，莹润如初。#天水麻辣烫#图源：视觉中国,,,,"地理君带你看中国,天水麻辣烫",196,96,902,2024/3/13 11:47,微博网页版,"['https://wx4.sinaimg.cn/large/001kHXfply1hnp7zo05e3j61kw11xqv502.jpg', 'https://wx3.sinaimg.cn/large/001kHXfply1hnp7zoesfbj61kw11x7wi02.jpg', 'https://wx2.sinaimg.cn/large/001kHXfply1hnp7zo3as7j61kw11xx6p02.jpg']",,,
5.01142E+15,O4MYtxX2G,7141087529,铁骥视频,#天水麻辣烫#【#甘肃天水麻辣烫专线公交上线#】近日，甘肃天水麻辣烫火爆出圈，当地也是从城市环境、城市服务、市场监管等各方面进行整改与优化。除了免费车队接送旅客吃麻辣烫，有网友还发现连麻辣烫专线公交都上线了！#被甘肃天水麻辣烫馋哭#@铁骥视频L铁骥视频的微博视频,,天水,铁骥视频,"天水麻辣烫,甘肃天水麻辣烫专线公交上线,被甘肃天水麻辣烫馋哭",132,152,884,2024/3/13 10:48,微博视频号,,"http://f.video.weibocdn.com/o0/qwKx5T0Rlx08dfpQHrAQ01041200jAtw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190847&ssig=9dzRCVS%2F7u&KID=unistore,video",,
5.01189E+15,O4ZkCaujX,1791298665,奔流新闻,#最抚人心甘肃麻辣烫#【#天水人的热情：我店里没有麻辣烫，但客人可以端过来吃#】#天水麻辣烫#厚道甘肃视频丨奔流新闻记者赵梓伊翟倩L奔流新闻的微博视频,,,,"最抚人心甘肃麻辣烫,天水人的热情：我店里没有麻辣烫，但客人可以端过来吃,天水麻辣烫",8,0,286,2024/3/14 18:15,微博视频号,,"http://f.video.weibocdn.com/o0/ks6zow9Zlx08dhvthZb201041200qZQd0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190847&ssig=ZVMk6KP9Jh&KID=unistore,video",,
5.01411E+15,O5V9Iy7z4,1663072851,中国日报,【#天水麻辣烫为啥这么火#？】等待，通常让人烦躁，但在甘肃天水，排队吃麻辣烫的过程却意外地有趣和温馨。从凌晨4点到上午11点，近7小时等待只为一碗麻辣烫，老饕们仍高呼“下次还来！”；怕游客等待辛苦，当地人主动发放免费凳子、矿泉水等物资；来自天南海北的陌生人会因漫长的队伍成了“旅游搭子”......中国日报记者殷伟豪专门来了一趟天水，明白了这里的麻辣烫为什么火爆出圈。一起来看！#天水会成为下一个淄博吗#？#天水麻辣烫#L中国日报的微博视频,,,,"天水麻辣烫为啥这么火,天水会成为下一个淄博吗,天水麻辣烫",23,25,163,2024/3/20 21:28,微博视频号,,"http://f.video.weibocdn.com/o0/VQDXlU4Olx08drh10PuE01041202RjMj0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190847&ssig=TcvLwIPxq4&KID=unistore,video",,
5.01397E+15,O5Rp3w1eL,2060420737,浙江城市之声,淄博烧烤和天水麻辣烫开在对门，一年火了一家，网友：真是冥冥之中自有天意#天水麻辣烫##淄博烧烤#L浙江城市之声的微博视频,,,,"天水麻辣烫,淄博烧烤",5,2,337,2024/3/20 11:54,微博视频号,,"http://f.video.weibocdn.com/o0/yyRxk8zNlx08dqEFBLMk010412008CTF0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190847&ssig=b00ddXh9Ef&KID=unistore,video",,
5.01181E+15,O4XhLE62t,2054900587,农民频道,【猜一猜】：“麻辣烫”起源于哪里？#带火天水麻辣烫的女孩找到了##天水麻辣烫#“麻辣烫”起源于哪里？,,,,"带火天水麻辣烫的女孩找到了,天水麻辣烫",11,87,11769,2024/3/14 13:03,荣耀90 写真相机,,,,
5.01184E+15,O4Y42awN3,7030322196,天眼新闻,【#贵州麻辣烫申请出战#】天水麻辣烫火了，贵州麻辣烫也要申请出战！不止有麻辣口味，还有酸汤口味，卤汤更不能错过！一口下来香迷糊了！#天水麻辣烫#（素材来源：@如意甘肃@相约贵州@心动930@大脸馋猫爱旅游制作：贵州日报天眼新闻记者卢思露）L天眼新闻的微博视频,,,"如意甘肃,相约贵州,心动930,大脸馋猫爱旅游","贵州麻辣烫申请出战,天水麻辣烫",8,31,212,2024/3/14 15:01,微博视频号,,"http://f.video.weibocdn.com/u0/PnU8ESoQgx08dhi3XNc401041200hdii0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190847&ssig=sZjnRZLoIs&KID=unistore,video",,
5.01372E+15,O5KY1CJ3Y,1734530730,大河报,【#甘肃麻辣烫走红带火郑州门店#】近日，甘肃#天水麻辣烫#走红带火了郑州的一家门店。这家“天水麻辣烫”开业仅6天，每天接待1000多名顾客。#甘肃文旅喊麦宣传天水麻辣烫#L大河报的微博视频,,,,"甘肃麻辣烫走红带火郑州门店,天水麻辣烫,甘肃文旅喊麦宣传天水麻辣烫",3,15,22,2024/3/19 19:31,微博视频号,,"http://f.video.weibocdn.com/o0/29zHucHjlx08dpz9NHpm01041200bwCm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190855&ssig=9McEDT35Gs&KID=unistore,video",,
5.01225E+15,O58D5awQY,1699258907,春城晚报,被#天水麻辣烫#香迷糊了，能不能用我们“#云南清汤烫#”野生菌火锅换一顿L春城晚报的微博视频,,,,"天水麻辣烫,云南清汤烫",5,6,50,2024/3/15 17:55,微博视频号,,"http://f.video.weibocdn.com/u0/dZNMqp0agx08dj50hPMI01041200a8mc0E010.mp4?label=mp4_720p&template=720x1268.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190855&ssig=QddUcIB7h0&KID=unistore,video",,
5.01147E+15,O4OnIwSkN,3871817031,地道风物,#甘肃天水麻辣烫##天水麻辣烫#这泼天的富贵终于轮到甘肃天水麻辣烫了！许多吃货“特种兵”甚至不远千里去天水吃麻辣烫，甘肃当地在天水机场组织专车，只为接送游客前往吃麻辣烫！世人皆知开遍全国的兰州拉面，其实一碗热辣的甘肃麻辣烫才是甘肃人的隐秘快乐~如果你有一位吃货甘肃朋友，他多半会叮嘱你，去甘肃绝对不要错过的，就是甘肃麻辣烫！不用迷信于评分、环境，懂的人才知道，越是老厂房、家属院里的老门面，越有可能是本地食客心目中隐藏的明星，到了饭点还很有可能大排长龙——不过没关系，巷子里随便挑一家，味道基本都差不了~你想去甘肃尝尝天水麻辣烫的滋味吗？#外地人被甘肃天水麻辣烫整懵了#O中国最香的麻辣烫，不在四川，更不在东北！,,,,"甘肃天水麻辣烫,天水麻辣烫,外地人被甘肃天水麻辣烫整懵了",20,12,38,2024/3/13 14:22,微博 weibo.com,,,,
5.01254E+15,O5gbcCt6v,2039753857,CCTV4,【#甘肃麻辣烫火了炊事班申请出战#】最近，甘肃麻辣烫火了！来自武警甘肃总队平凉支队的军营麻辣烫申请出战~网友：是谁又被馋哭了我不说#天水麻辣烫#（记者王治国）L央视军事的微博视频,,,,"甘肃麻辣烫火了炊事班申请出战,天水麻辣烫",3,0,15,2024/3/16 13:09,微博视频号,,"http://f.video.weibocdn.com/o0/UB0C1Urolx08dkcNU74s01041200l1wG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713190855&ssig=4Hl3KSv%2BAD&KID=unistore,video",,
5.01372E+15,O5KY1CJ3Y,1734530730,大河报,【#甘肃麻辣烫走红带火郑州门店#】近日，甘肃#天水麻辣烫#走红带火了郑州的一家门店。这家“天水麻辣烫”开业仅6天，每天接待1000多名顾客。#甘肃文旅喊麦宣传天水麻辣烫#L大河报的微博视频,,,,"甘肃麻辣烫走红带火郑州门店,天水麻辣烫,甘肃文旅喊麦宣传天水麻辣烫",3,15,22,2024/3/19 19:31,微博视频号,,"http://f.video.weibocdn.com/o0/29zHucHjlx08dpz9NHpm01041200bwCm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191086&ssig=vNlW2f30pA&KID=unistore,video",,
5.01225E+15,O58D5awQY,1699258907,春城晚报,被#天水麻辣烫#香迷糊了，能不能用我们“#云南清汤烫#”野生菌火锅换一顿L春城晚报的微博视频,,,,"天水麻辣烫,云南清汤烫",5,6,50,2024/3/15 17:55,微博视频号,,"http://f.video.weibocdn.com/u0/dZNMqp0agx08dj50hPMI01041200a8mc0E010.mp4?label=mp4_720p&template=720x1268.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191086&ssig=yimW4%2BK8tV&KID=unistore,video",,
5.01147E+15,O4OnIwSkN,3871817031,地道风物,#甘肃天水麻辣烫##天水麻辣烫#这泼天的富贵终于轮到甘肃天水麻辣烫了！许多吃货“特种兵”甚至不远千里去天水吃麻辣烫，甘肃当地在天水机场组织专车，只为接送游客前往吃麻辣烫！世人皆知开遍全国的兰州拉面，其实一碗热辣的甘肃麻辣烫才是甘肃人的隐秘快乐~如果你有一位吃货甘肃朋友，他多半会叮嘱你，去甘肃绝对不要错过的，就是甘肃麻辣烫！不用迷信于评分、环境，懂的人才知道，越是老厂房、家属院里的老门面，越有可能是本地食客心目中隐藏的明星，到了饭点还很有可能大排长龙——不过没关系，巷子里随便挑一家，味道基本都差不了~你想去甘肃尝尝天水麻辣烫的滋味吗？#外地人被甘肃天水麻辣烫整懵了#O中国最香的麻辣烫，不在四川，更不在东北！,,,,"甘肃天水麻辣烫,天水麻辣烫,外地人被甘肃天水麻辣烫整懵了",20,12,38,2024/3/13 14:22,微博 weibo.com,,,,
5.01254E+15,O5gbcCt6v,2039753857,CCTV4,【#甘肃麻辣烫火了炊事班申请出战#】最近，甘肃麻辣烫火了！来自武警甘肃总队平凉支队的军营麻辣烫申请出战~网友：是谁又被馋哭了我不说#天水麻辣烫#（记者王治国）L央视军事的微博视频,,,,"甘肃麻辣烫火了炊事班申请出战,天水麻辣烫",3,0,15,2024/3/16 13:09,微博视频号,,"http://f.video.weibocdn.com/o0/UB0C1Urolx08dkcNU74s01041200l1wG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191086&ssig=EhUHA2tJSR&KID=unistore,video",,
5.01174E+15,O4VpZ1zEF,2810373291,新华网,【秀我中国|#你最想吃的甘肃美食是什么#？】#除了麻辣烫还有这些甘肃美食#天水麻辣烫火了，带火了“天水”这座西北小城，除了麻辣烫甘肃还有哪些美食？戳视频↓↓#天水麻辣烫#@秀我中国L新华网的微博视频,,,秀我中国,"你最想吃的甘肃美食是什么,除了麻辣烫还有这些甘肃美食,天水麻辣烫",137,210,1335,2024/3/14 8:17,微博视频号,,"http://f.video.weibocdn.com/o0/GEwQAUA5lx08dgQq9Nle010412008onB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191337&ssig=ooxWJENxb3&KID=unistore,video",,
5.01179E+15,O4WOo06vs,1774057271,生命时报,【#吃麻辣烫记住这个健康比例#】近日，#天水麻辣烫#出圈了！其实选对食材，麻辣烫也可以吃得很健康，且可以做到食物多样化↓↓①按照“主食:蔬菜:蛋白质类食物≈1:2:1”来选择，其中主食最好粗细粮搭配，如荞麦面。②蔬菜中有2/3是绿叶菜，1/3是菌菇类。蛋白质类食物中一半为豆制品，另一半为动物性食物，如鸡胸肉、瘦肉片、鱼片等。③墨鱼花、蟹肉棒、芝士丸等大部分是淀粉制品，盐含量往往较高，尽量不选。④选汤底时，备注少油少盐，避免油盐摄入超标。,,,,"吃麻辣烫记住这个健康比例,天水麻辣烫",206,58,1227,2024/3/14 11:50,微博网页版,[],,,
5.01151E+15,O4Pxs2nkZ,7467277921,西部决策,【“甘肃麻辣烫”火出圈！#网友喊话甘肃文旅#：泼天富贵来了】最近#天水麻辣烫#火爆出圈，不少网红博主，吃货“特种兵”甚至不远千里坐高铁去甘肃吃麻辣烫。面对这“泼天的富贵”甘肃网友紧急催更天水文旅“起来干活”！#外地人被甘肃天水麻辣烫整懵了#@西部决策O“甘肃麻辣烫”火出圈！网友喊话甘肃文旅：泼天富贵来了,,,西部决策,"网友喊话甘肃文旅,天水麻辣烫,外地人被甘肃天水麻辣烫整懵了",19,39,334,2024/3/13 17:19,微博 weibo.com,,,,
